

448,217,708,648,1;247,344,477,720,2;685,299,842,538,3;
451,215,710,643,1;242,334,462,696,2;679,301,840,547,3;
452,214,710,642,1;238,321,458,689,2;671,297,839,556,3;
465,210,724,640,1;241,316,465,691,2;666,293,837,558,3;
470,214,728,640,1;242,314,469,693,2;667,294,837,561,3;
457,213,719,649,1;244,313,465,690,2;670,294,837,556,3;
455,219,707,639,1;246,318,461,689,2;675,293,842,554,3;
445,217,703,648,1;247,328,462,704,2;673,294,840,555,3;
442,215,703,651,1;241,320,474,727,2;677,297,839,549,3;
444,216,701,645,1;243,320,476,730,2;676,298,838,549,3;
447,216,702,641,1;257,329,465,693,2;674,299,838,552,3;
450,221,696,632,1;259,335,456,677,2;670,297,835,551,3;
450,219,703,639,1;263,333,462,682,2;668,301,828,549,3;
453,220,705,641,1;271,330,470,678,2;671,301,831,549,3;
456,222,704,638,1;273,326,472,678,2;670,297,833,549,3;
455,226,700,633,1;278,327,474,675,2;690,300,842,526,3;
440,226,701,658,1;286,331,481,677,2;680,298,837,530,3;
439,223,693,642,1;294,331,490,680,2;673,299,834,538,3;
436,220,690,638,1;300,333,496,682,2;667,298,835,547,3;
445,221,695,633,1;310,337,503,680,2;664,300,833,553,3;
452,222,702,632,1;308,333,519,709,2;661,303,827,550,3;
469,223,717,627,1;317,337,516,687,2;663,302,827,546,3;
460,224,709,634,1;310,335,505,680,2;668,298,835,549,3;
458,224,704,633,1;311,336,505,679,2;670,298,840,551,3;
455,223,703,637,1;314,332,505,671,2;669,301,833,544,3;
452,223,697,633,1;305,323,503,676,2;668,302,833,546,3;
451,222,690,620,1;313,327,504,666,2;667,298,834,547,3;
446,221,691,631,1;305,322,497,666,2;661,297,835,558,3;
450,223,691,627,1;308,329,495,666,2;659,299,832,558,3;
457,225,697,629,1;315,335,499,664,2;660,300,828,552,3;
460,224,703,636,1;320,339,502,662,2;664,302,829,550,3;
463,224,702,635,1;321,341,505,664,2;666,300,831,549,3;
465,226,699,629,1;322,340,516,673,2;669,299,836,549,3;
463,224,698,633,1;320,342,509,667,2;668,301,833,547,3;
464,226,696,632,1;321,342,508,665,2;668,301,832,547,3;
466,226,694,625,1;327,338,517,667,2;663,302,828,550,3;
470,227,692,616,1;327,336,516,663,2;661,304,825,552,3;
470,227,694,621,1;325,334,515,664,2;660,303,827,553,3;
470,226,694,622,1;331,338,513,658,2;662,302,827,550,3;
472,225,696,625,1;337,342,517,657,2;664,297,833,551,3;
482,229,704,626,1;343,347,523,661,2;665,298,835,553,3;
471,224,698,637,1;344,345,529,666,2;664,299,832,552,3;
474,237,681,616,1;351,342,544,670,2;666,301,828,545,3;
479,240,676,604,1;354,337,554,673,2;662,299,829,548,3;
476,231,685,617,1;348,341,542,668,2;660,302,827,550,3;
474,229,686,623,1;357,336,560,675,2;651,302,817,551,3;
492,221,708,619,1;364,339,556,663,2;650,302,815,551,3;
492,223,699,610,1;364,336,556,661,2;662,304,823,548,3;
493,224,699,610,1;371,345,552,651,2;668,303,829,545,3;
496,221,700,611,1;382,346,559,642,2;668,305,824,537,3;
487,223,691,620,1;382,346,564,652,2;666,303,828,544,3;
493,222,694,617,1;381,347,567,659,2;666,301,830,544,3;
493,225,672,574,1;391,351,570,647,2;666,301,833,548,3;
492,225,664,557,1;385,352,569,654,2;662,299,833,551,3;
484,234,654,544,1;382,353,566,655,2;662,300,831,549,3;
469,239,665,590,1;378,354,562,655,2;664,303,830,548,3;
465,239,671,603,1;373,359,553,652,2;666,304,828,543,3;
479,235,695,612,1;362,355,546,655,2;669,302,830,539,3;
486,231,710,620,1;355,353,542,660,2;671,304,825,530,3;
492,229,716,618,1;353,350,544,662,2;668,305,829,541,3;
499,230,725,616,1;349,340,555,673,2;664,303,833,550,3;
486,233,702,608,1;350,346,549,668,2;661,303,833,554,3;
494,230,713,609,1;342,348,540,669,2;659,303,829,551,3;
486,242,691,598,1;352,350,544,661,2;659,303,829,552,3;
488,260,679,588,1;352,349,544,660,2;660,303,825,543,3;
485,243,699,610,1;355,350,546,658,2;661,300,830,547,3;
487,237,708,615,1;357,354,545,658,2;661,301,828,544,3;
483,236,693,605,1;357,354,548,661,2;666,303,824,531,3;
477,231,689,612,1;356,354,551,664,2;656,297,833,553,3;
485,224,706,622,1;352,352,547,663,2;657,298,833,552,3;
488,231,709,622,1;342,349,539,665,2;656,297,831,549,3;
481,246,684,607,1;348,352,542,661,2;655,298,830,552,3;
483,256,674,591,1;341,348,538,663,2;657,299,829,548,3;
477,247,682,608,1;338,351,532,663,2;662,298,834,547,3;
483,242,695,611,1;337,350,530,664,2;662,300,830,544,3;
490,240,708,618,1;348,354,537,660,2;664,301,829,540,3;
493,238,714,622,1;351,345,553,668,2;661,301,833,550,3;
494,244,715,618,1;354,346,559,670,2;662,303,833,547,3;
483,250,689,600,1;358,351,553,663,2;657,300,832,552,3;
467,245,686,618,1;347,353,539,662,2;657,299,834,553,3;
478,249,683,600,1;356,351,543,652,2;660,299,829,543,3;
487,243,691,594,1;356,349,545,650,2;665,301,830,539,3;
491,225,695,581,1;359,343,549,650,2;668,302,829,534,3;
489,215,710,606,1;363,341,559,661,2;667,301,829,533,3;
494,214,701,580,1;370,344,564,661,2;666,302,829,536,3;
490,216,688,568,1;375,348,566,661,2;663,300,830,539,3;
489,220,680,561,1;379,351,568,661,2;663,300,830,538,3;
498,216,711,597,1;379,353,566,661,2;661,300,832,545,3;
494,218,705,603,1;381,348,568,659,2;657,301,833,553,3;
496,227,700,605,1;381,340,570,654,2;660,302,835,554,3;
497,226,702,607,1;388,331,579,654,2;662,300,834,547,3;
511,247,695,589,1;392,335,579,651,2;661,297,834,545,3;
513,249,696,589,1;388,346,567,651,2;661,299,830,540,3;
507,247,694,596,1;393,347,570,648,2;658,301,831,548,3;
507,244,698,603,1;393,343,575,653,2;658,299,831,546,3;
516,249,687,562,1;395,345,577,650,2;657,297,834,551,3;
506,246,691,587,1;394,347,576,649,2;658,298,831,547,3;
501,243,692,598,1;396,349,581,651,2;660,298,830,546,3;
506,251,690,589,1;396,349,580,643,2;663,300,831,543,3;
514,263,689,580,1;385,350,566,645,2;666,302,829,537,3;
515,265,689,579,1;375,350,559,651,2;669,302,831,534,3;
508,242,700,591,1;374,353,556,653,2;667,304,831,539,3;
504,233,703,598,1;375,350,563,659,2;662,303,830,544,3;
513,232,722,606,1;377,351,567,663,2;662,305,827,542,3;
510,233,700,573,1;378,353,566,664,2;660,303,828,544,3;
499,229,700,592,1;380,355,568,663,2;662,301,831,545,3;
494,231,698,605,1;382,358,565,660,2;664,301,831,542,3;
487,243,681,596,1;392,359,571,647,2;664,304,830,542,3;
497,236,688,575,1;393,352,576,643,2;666,305,827,533,3;
495,219,693,574,1;378,345,565,646,2;666,301,831,534,3;
500,213,710,586,1;371,344,565,657,2;664,302,832,540,3;
498,208,713,590,1;370,347,564,660,2;662,303,828,538,3;
491,202,715,603,1;371,351,564,663,2;662,303,827,538,3;
490,197,720,614,1;375,357,564,661,2;663,306,828,541,3;
494,209,720,616,1;376,358,565,662,2;663,304,829,543,3;
495,223,708,609,1;387,361,573,656,2;663,301,831,541,3;
502,245,696,597,1;379,355,571,658,2;664,303,828,536,3;
516,239,710,586,1;381,349,582,660,2;666,304,830,538,3;
523,244,714,579,1;375,345,576,659,2;664,304,830,540,3;
526,245,715,577,1;373,347,571,659,2;664,305,827,538,3;
517,235,732,609,1;377,346,580,661,2;664,305,826,538,3;
510,234,731,615,1;373,345,579,667,2;653,309,815,543,3;
507,241,716,604,1;384,350,580,654,2;660,308,823,542,3;
511,250,706,589,1;389,351,584,650,2;664,308,827,543,3;
508,245,709,597,1;390,352,585,649,2;662,306,828,546,3;
510,237,702,573,1;378,350,577,656,2;665,308,828,541,3;
507,235,706,587,1;374,352,573,659,2;668,308,824,531,3;
514,235,726,603,1;373,350,574,661,2;669,309,824,530,3;
514,233,735,612,1;372,349,574,661,2;667,312,821,532,3;
506,230,730,614,1;381,351,579,658,2;663,306,824,538,3;
514,253,717,600,1;388,351,581,648,2;663,302,833,547,3;
514,252,718,604,1;391,347,586,647,2;664,304,831,547,3;
513,240,730,615,1;390,347,585,647,2;666,302,836,550,3;
513,233,714,583,1;392,347,583,644,2;669,302,837,547,3;
505,223,706,575,1;392,348,579,641,2;668,304,833,546,3;
511,221,725,587,1;401,350,583,633,2;671,305,829,537,3;
513,214,728,575,1;408,353,587,631,2;672,307,823,528,3;
502,215,711,570,1;413,352,593,631,2;666,306,823,537,3;
472,227,690,593,1;414,352,598,636,2;664,304,823,538,3;
488,238,698,598,1;431,348,614,628,2;664,306,825,543,3;
499,249,700,597,1;437,348,620,625,2;666,302,829,542,3;
504,245,705,593,1;426,360,602,626,2;669,302,829,537,3;
523,251,701,553,1;414,363,595,634,2;665,302,828,538,3;
521,254,711,575,1;399,359,585,637,2;665,304,826,537,3;
524,271,708,581,1;391,357,579,640,2;661,303,832,551,3;
526,266,721,587,1;390,353,583,644,2;663,304,832,550,3;
528,267,725,588,1;393,351,587,645,2;666,305,828,544,3;
519,250,737,602,1;400,354,595,647,2;665,307,828,546,3;
515,254,727,598,1;407,352,597,637,2;669,307,829,543,3;
511,250,719,592,1;409,352,595,631,2;673,307,825,532,3;
517,250,719,577,1;425,356,604,620,2;669,307,824,535,3;
514,252,713,576,1;416,348,605,630,2;669,311,822,536,3;
507,253,704,580,1;412,350,601,632,2;664,309,824,545,3;
509,263,698,574,1;416,359,599,630,2;663,307,824,543,3;
515,273,697,573,1;413,364,599,637,2;663,307,823,542,3;
516,268,706,572,1;409,364,601,645,2;667,305,828,541,3;
517,270,705,571,1;409,367,602,649,2;671,303,837,547,3;
511,254,730,599,1;412,369,605,647,2;677,305,837,540,3;
520,254,740,596,1;420,369,613,644,2;682,304,841,537,3;
534,255,748,583,1;428,366,620,637,2;695,302,854,535,3;
543,246,760,577,1;430,360,627,638,2;703,305,861,535,3;
561,242,782,572,1;428,355,630,640,2;706,305,864,534,3;
553,248,771,579,1;431,357,635,647,2;715,305,878,543,3;
569,252,774,558,1;438,355,648,654,2;730,300,893,540,3;
574,252,778,556,1;456,361,658,647,2;741,300,907,544,3;
595,260,810,585,1;471,362,672,644,2;764,299,930,542,3;
606,254,819,574,1;490,361,695,643,2;779,304,934,528,3;
612,243,821,562,1;493,359,698,642,2;786,305,941,529,3;
630,240,852,576,1;493,355,702,644,2;791,309,949,535,3;
643,235,872,577,1;497,357,708,648,2;799,309,956,535,3;
650,230,891,583,1;512,359,726,652,2;52,225,187,734,4;
638,225,893,599,1;519,359,734,652,2;801,308,961,542,3;65,230,207,747,4;
642,238,879,593,1;526,357,746,655,2;802,308,960,541,3;62,219,219,771,4;
654,257,871,582,1;533,359,747,646,2;804,309,958,539,3;60,223,223,777,4;
663,262,879,583,1;537,360,748,639,2;801,307,960,547,3;54,210,230,790,4;
669,258,883,575,1;537,361,743,632,2;809,306,966,548,3;63,207,240,779,4;
678,266,887,571,1;532,357,742,633,2;801,302,960,547,3;66,205,246,775,4;
679,274,886,572,1;520,351,734,639,2;792,296,963,562,3;73,201,257,775,4;
680,281,884,570,1;514,348,733,648,2;809,299,969,553,3;87,204,269,767,4;
676,273,888,572,1;521,346,740,651,2;816,302,968,550,3;96,202,280,763,4;
661,253,904,599,1;529,349,747,654,2;818,306,965,549,3;106,202,292,761,4;
666,259,899,588,1;542,354,752,646,2;819,307,964,547,3;115,211,301,757,4;
660,272,879,584,1;544,354,749,640,2;819,304,963,546,3;121,218,308,751,4;
660,260,891,591,1;540,353,742,636,2;817,302,964,552,3;132,218,326,751,4;
663,280,871,578,1;535,349,741,639,2;818,304,962,552,3;134,217,333,750,4;
666,253,890,576,1;532,350,736,640,2;823,306,962,548,3;134,213,338,751,4;
656,235,885,572,1;526,353,728,643,2;826,307,960,545,3;136,212,340,749,4;
645,223,877,573,1;524,355,724,647,2;825,307,960,547,3;136,212,342,749,4;
633,220,874,595,1;532,357,731,647,2;822,306,959,551,3;136,211,342,748,4;
642,228,859,568,1;540,359,737,644,2;821,303,958,549,3;136,210,343,748,4;
642,243,858,584,1;545,351,743,638,2;822,301,957,544,3;136,211,344,750,4;
651,260,855,585,1;544,347,742,633,2;821,300,958,546,3;136,212,345,750,4;
657,259,863,590,1;535,343,738,639,2;824,301,957,541,3;138,214,345,747,4;
657,252,864,590,1;525,344,729,646,2;827,304,958,541,3;139,216,348,749,4;
653,239,870,598,1;519,345,726,654,2;828,304,957,543,3;139,216,350,753,4;
654,227,883,608,1;519,346,724,656,2;828,304,958,547,3;138,216,351,756,4;
652,221,869,585,1;528,351,728,650,2;826,305,958,552,3;137,216,352,757,4;
649,223,868,597,1;531,353,728,645,2;825,304,955,549,3;137,216,354,758,4;
652,236,859,593,1;523,346,722,646,2;825,302,953,540,3;137,216,354,760,4;
651,235,859,593,1;521,343,722,649,2;818,305,947,545,3;136,217,353,760,4;
675,260,870,584,1;521,344,722,651,2;821,302,954,548,3;137,218,355,759,4;
680,265,877,583,1;522,345,721,653,2;805,298,947,557,3;137,216,355,756,4;
679,259,886,589,1;530,349,728,654,2;817,302,954,553,3;135,216,354,758,4;
683,252,890,578,1;536,352,731,651,2;823,306,955,549,3;136,217,353,756,4;
675,246,890,582,1;537,352,730,648,2;824,307,955,550,3;136,217,352,752,4;
