

548,218,803,634,1;198,367,441,746,2;765,293,946,556,3;
553,223,800,626,1;197,371,433,738,2;766,295,943,552,3;
553,223,799,624,1;194,379,425,741,2;755,296,935,555,3;
554,223,801,626,1;201,375,420,716,2;752,294,932,557,3;
554,222,801,625,1;202,370,418,711,2;754,297,928,554,3;
552,222,799,627,1;207,370,419,707,2;764,298,936,550,3;
549,220,798,627,1;205,370,428,721,2;760,300,926,548,3;
547,221,797,629,1;203,372,433,733,2;758,300,922,546,3;
545,219,796,631,1;205,376,437,739,2;763,293,935,550,3;
545,217,799,633,1;204,381,435,739,2;765,295,938,552,3;
549,220,797,628,1;206,386,434,735,2;757,297,930,556,3;
557,222,806,626,1;196,393,418,735,2;754,297,922,551,3;
554,222,802,624,1;197,386,410,716,2;758,301,921,549,3;
550,222,799,628,1;199,382,407,706,2;760,300,919,545,3;
547,220,796,626,1;207,374,430,719,2;761,301,915,541,3;
544,215,798,629,1;207,370,440,731,2;770,298,908,511,3;
542,214,798,631,1;204,375,439,737,2;770,295,927,535,3;
546,215,800,626,1;202,379,437,738,2;761,299,922,546,3;
546,217,799,627,1;209,389,438,733,2;752,300,917,555,3;
556,219,811,628,1;216,394,443,730,2;750,300,916,557,3;
557,221,812,628,1;216,394,442,728,2;748,296,917,562,3;
548,224,800,630,1;212,398,433,728,2;752,296,919,559,3;
545,224,798,634,1;216,389,431,713,2;754,297,918,556,3;
534,216,793,637,1;218,384,432,709,2;754,300,914,552,3;
539,217,795,630,1;227,382,447,715,2;758,302,914,549,3;
531,215,790,636,1;229,378,450,715,2;754,301,915,553,3;
527,214,786,637,1;235,374,458,719,2;752,301,916,559,3;
530,220,784,635,1;241,379,466,730,2;750,304,912,558,3;
541,220,796,635,1;244,383,467,736,2;748,304,909,555,3;
533,222,789,641,1;256,386,482,741,2;749,302,912,559,3;
530,220,784,641,1;255,384,474,727,2;747,301,907,553,3;
528,221,781,638,1;251,381,465,716,2;751,299,912,551,3;
524,223,774,637,1;250,377,463,710,2;746,300,905,551,3;
516,218,770,639,1;257,376,465,703,2;750,302,904,546,3;
516,217,771,639,1;266,370,481,704,2;746,302,904,549,3;
516,218,772,639,1;269,365,492,710,2;742,302,902,552,3;
517,220,770,635,1;272,373,494,714,2;738,302,902,555,3;
520,218,777,637,1;273,375,488,707,2;737,301,900,553,3;
515,220,770,639,1;273,386,489,720,2;735,299,900,553,3;
512,220,763,635,1;270,385,495,731,2;736,298,899,549,3;
506,223,755,634,1;269,386,493,726,2;736,295,902,549,3;
497,223,747,636,1;263,374,493,722,2;725,296,888,547,3;
494,221,743,634,1;259,376,478,708,2;722,296,885,548,3;
492,222,741,637,1;254,371,470,703,2;715,297,882,552,3;
492,227,736,634,1;248,360,469,704,2;710,301,875,553,3;
494,225,735,626,1;242,354,464,703,2;705,301,872,556,3;
492,221,735,629,1;241,353,462,700,2;700,301,867,556,3;
486,217,732,632,1;243,352,471,713,2;700,301,867,556,3;
483,220,725,631,1;244,372,468,723,2;700,299,867,555,3;
481,222,724,629,1;246,383,467,728,2;702,300,863,547,3;
475,223,722,635,1;245,374,474,732,2;703,304,858,539,3;
473,222,717,629,1;249,376,465,715,2;699,300,861,542,3;
462,220,712,637,1;249,378,459,709,2;694,298,863,551,3;
469,217,717,631,1;249,370,457,702,2;680,301,847,554,3;
473,217,719,625,1;251,367,457,696,2;675,298,846,558,3;
477,219,727,632,1;251,361,458,694,2;672,295,843,560,3;
474,221,723,635,1;250,356,460,696,2;686,294,857,557,3;
474,226,719,632,1;252,354,462,698,2;691,293,863,556,3;
461,223,714,644,1;250,358,462,708,2;686,296,850,549,3;
454,220,711,647,1;259,355,480,715,2;687,298,844,540,3;
